"band","rank"
"http://dbpedia.org/resource/James_Brown",62.2344
"http://dbpedia.org/resource/Ray_Charles",48.8123
"http://dbpedia.org/resource/Michael_Erlewine",45.9402
"http://dbpedia.org/resource/Billie_Holiday",30.043
"http://dbpedia.org/resource/Linda_Ronstadt",24.339
"http://dbpedia.org/resource/Garth_Brooks",23.4933
"http://dbpedia.org/resource/John_Cena",21.4205
"http://dbpedia.org/resource/Sam_Cooke",20.0493
"http://dbpedia.org/resource/Ayumi_Hamasaki",18.5858
"http://dbpedia.org/resource/Charles_Mingus",17.6507
