"band","rank"
"http://dbpedia.org/resource/The_Beatles",295.343
"http://dbpedia.org/resource/U2",103.039
"http://dbpedia.org/resource/The_Who",95.333
"http://dbpedia.org/resource/Queen_(band)",86.6267
"http://dbpedia.org/resource/Metallica",80.2294
"http://dbpedia.org/resource/The_Beach_Boys",72.8412
"http://dbpedia.org/resource/Radiohead",64.9971
"http://dbpedia.org/resource/Kiss_(band)",53.3176
"http://dbpedia.org/resource/Grateful_Dead",53.1277
"http://dbpedia.org/resource/Aerosmith",52.7773
