"band";"rank"
"http://dbpedia.org/resource/Nirvana_(band)";60.247
"http://dbpedia.org/resource/Grateful_Dead";53.1277
"http://dbpedia.org/resource/Black_Sabbath";52.7286
"http://dbpedia.org/resource/Oasis_(band)";48.3182
"http://dbpedia.org/resource/ABBA";45.3433
"http://dbpedia.org/resource/R.E.M.";44.7752
"http://dbpedia.org/resource/Bon_Jovi";41.7707
"http://dbpedia.org/resource/Deep_Purple";40.9412
"http://dbpedia.org/resource/The_Doors";39.2122
"http://dbpedia.org/resource/Sonic_Youth";35.4796
