"band";"rank"
"http://dbpedia.org/resource/James_Brown";62.2344
"http://dbpedia.org/resource/Billie_Holiday";30.043
"http://dbpedia.org/resource/George_Martin";27.3878
"http://dbpedia.org/resource/Linda_Ronstadt";24.339
"http://dbpedia.org/resource/Garth_Brooks";23.4933
"http://dbpedia.org/resource/John_Cena";21.4205
"http://dbpedia.org/resource/Sam_Cooke";20.0493
"http://dbpedia.org/resource/Ayumi_Hamasaki";18.5858
"http://dbpedia.org/resource/Charles_Mingus";17.6507
"http://dbpedia.org/resource/George_Jones";15.6202
"http://dbpedia.org/resource/Isaac_Hayes";15.605
"http://dbpedia.org/resource/Young_Jeezy";14.8578
"http://dbpedia.org/resource/Dr._John";14.6605
"http://dbpedia.org/resource/Crazy_Frog";14.1525
"http://dbpedia.org/resource/MF_Doom";13.646
"http://dbpedia.org/resource/Jelly_Roll_Morton";13.6458
"http://dbpedia.org/resource/Too_Short";13.0136
"http://dbpedia.org/resource/Sun_Ra";11.5002
"http://dbpedia.org/resource/Fats_Waller";11.4249
"http://dbpedia.org/resource/Marie_Osmond";11.173
"http://dbpedia.org/resource/Gram_Parsons";10.5411
"http://dbpedia.org/resource/Ol'_Dirty_Bastard";10.3441
"http://dbpedia.org/resource/Dalida";10.1738
"http://dbpedia.org/resource/Conway_Twitty";10.1271
"http://dbpedia.org/resource/Wilson_Pickett";10.0825
"http://dbpedia.org/resource/Freddie_Hubbard";9.80827
"http://dbpedia.org/resource/Kenny_G";9.75453
"http://dbpedia.org/resource/Hikaru_Utada";9.36848
"http://dbpedia.org/resource/Stan_Kenton";9.31373
"http://dbpedia.org/resource/Lester_Young";9.28928
"http://dbpedia.org/resource/Nate_Dogg";9.15751
"http://dbpedia.org/resource/Caetano_Veloso";9.10583
"http://dbpedia.org/resource/Eddy_Arnold";8.8598
"http://dbpedia.org/resource/Robin_Gibb";8.6834
"http://dbpedia.org/resource/DJ_Shadow";8.56622
"http://dbpedia.org/resource/Tyga";7.87544
"http://dbpedia.org/resource/Mase";7.77532
"http://dbpedia.org/resource/Dinah_Washington";7.65455
"http://dbpedia.org/resource/Barbara_Mandrell";7.59714
"http://dbpedia.org/resource/Richard_Wright_(musician)";7.54609
"http://dbpedia.org/resource/Lisa_Lopes";7.51091
"http://dbpedia.org/resource/Tony_Williams_(drummer)";7.31739
"http://dbpedia.org/resource/Madlib";7.26509
"http://dbpedia.org/resource/Cecil_Taylor";7.16493
"http://dbpedia.org/resource/J._J._Johnson";7.02612
"http://dbpedia.org/resource/Styles_P";6.87718
"http://dbpedia.org/resource/June_Carter_Cash";6.81569
"http://dbpedia.org/resource/Hank_Snow";6.74698
"http://dbpedia.org/resource/Professor_Longhair";6.59699
"http://dbpedia.org/resource/Gene_Pitney";6.50714
"http://dbpedia.org/resource/Maurice_Gibb";6.40295
"http://dbpedia.org/resource/Herbie_Mann";6.25649
"http://dbpedia.org/resource/Larry_Norman";6.15523
"http://dbpedia.org/resource/Frank_Turner";6.07926
"http://dbpedia.org/resource/Johnny_Hodges";6.06516
"http://dbpedia.org/resource/Patty_Loveless";6.03446
"http://dbpedia.org/resource/Donny_Hathaway";5.8637
"http://dbpedia.org/resource/Pharoahe_Monch";5.76206
"http://dbpedia.org/resource/Juice_Newton";5.66023
"http://dbpedia.org/resource/RJD2";5.41619
"http://dbpedia.org/resource/Bert_Jansch";5.37741
"http://dbpedia.org/resource/Mystikal";5.30153
"http://dbpedia.org/resource/Carmen_McRae";5.27223
"http://dbpedia.org/resource/Lee_Hazlewood";5.25025
"http://dbpedia.org/resource/Steve_Aoki";5.11431
"http://dbpedia.org/resource/Big_L";5.07897
"http://dbpedia.org/resource/Tiny_Tim_(musician)";5.0635
"http://dbpedia.org/resource/Joe_Pass";4.9636
"http://dbpedia.org/resource/Stanley_Turrentine";4.95635
"http://dbpedia.org/resource/Zoot_Sims";4.93533
"http://dbpedia.org/resource/Hubert_Laws";4.935
"http://dbpedia.org/resource/Mac_Dre";4.92229
"http://dbpedia.org/resource/John_Fahey_(musician)";4.91774
"http://dbpedia.org/resource/Lee_Hyori";4.91325
"http://dbpedia.org/resource/Sheila_E.";4.89634
"http://dbpedia.org/resource/Zucchero_Fornaciari";4.82544
"http://dbpedia.org/resource/Dieter_Bohlen";4.81228
"http://dbpedia.org/resource/Peabo_Bryson";4.80528
"http://dbpedia.org/resource/Mary_Wells";4.75405
"http://dbpedia.org/resource/Gerard_Way";4.67276
"http://dbpedia.org/resource/David_Murray_(saxophonist)";4.57557
"http://dbpedia.org/resource/Daryl_Hall";4.57039
"http://dbpedia.org/resource/John_Dankworth";4.56342
"http://dbpedia.org/resource/Sonny_Terry";4.5186
"http://dbpedia.org/resource/Dottie_West";4.50996
"http://dbpedia.org/resource/Anni-Frid_Lyngstad";4.50878
"http://dbpedia.org/resource/Mississippi_John_Hurt";4.4441
"http://dbpedia.org/resource/K._V._Mahadevan";4.32573
"http://dbpedia.org/resource/Jimmy_Witherspoon";4.30433
"http://dbpedia.org/resource/Keb'_Mo'";4.29948
"http://dbpedia.org/resource/John_Hartford";4.26514
"http://dbpedia.org/resource/Baby_Bash";4.25096
"http://dbpedia.org/resource/Eddie_Kendricks";4.25085
"http://dbpedia.org/resource/Randy_Weston";4.21426
"http://dbpedia.org/resource/Cal_Tjader";4.20984
"http://dbpedia.org/resource/Bobbie_Gentry";4.16916
"http://dbpedia.org/resource/Edwin_Starr";4.15047
"http://dbpedia.org/resource/Terence_Blanchard";4.12073
"http://dbpedia.org/resource/Michael_Hutchence";4.0932
"http://dbpedia.org/resource/John_Lewis_(pianist)";4.03491
