"band";"rank"
"http://dbpedia.org/resource/Eminem";81.7049
"http://dbpedia.org/resource/James_Brown";62.2344
"http://dbpedia.org/resource/Snoop_Dogg";61.9093
"http://dbpedia.org/resource/Neil_Young";48.2138
"http://dbpedia.org/resource/50_Cent";40.964
"http://dbpedia.org/resource/Billy_Joel";40.5399
"http://dbpedia.org/resource/Peter_Gabriel";34.8037
"http://dbpedia.org/resource/Mary_J._Blige";34.3368
"http://dbpedia.org/resource/Ludacris";33.3917
"http://dbpedia.org/resource/K._J._Yesudas";30.9964
"http://dbpedia.org/resource/Nas";30.5123
"http://dbpedia.org/resource/Pink_(singer)";30.3836
"http://dbpedia.org/resource/Bono";30.0461
"http://dbpedia.org/resource/T.I.";29.96
"http://dbpedia.org/resource/Paul_Simon";29.8709
"http://dbpedia.org/resource/Van_Morrison";29.3625
"http://dbpedia.org/resource/%22Weird_Al%22_Yankovic";29.3246
"http://dbpedia.org/resource/Patti_Smith";27.8463
"http://dbpedia.org/resource/George_Martin";27.3878
"http://dbpedia.org/resource/Nelly";27.3314
"http://dbpedia.org/resource/Nicki_Minaj";26.6505
"http://dbpedia.org/resource/Busta_Rhymes";26.1942
"http://dbpedia.org/resource/Kelly_Clarkson";25.9035
"http://dbpedia.org/resource/S._P._Balasubrahmanyam";25.0758
"http://dbpedia.org/resource/Ice_Cube";24.7302
"http://dbpedia.org/resource/James_Taylor";24.4761
"http://dbpedia.org/resource/Linda_Ronstadt";24.339
"http://dbpedia.org/resource/Olivia_Newton-John";24.3052
"http://dbpedia.org/resource/The_Game_(rapper)";23.0824
"http://dbpedia.org/resource/Donovan";22.7992
"http://dbpedia.org/resource/Carole_King";22.7673
"http://dbpedia.org/resource/Kenny_Rogers";22.6206
"http://dbpedia.org/resource/Joan_Baez";22.0948
"http://dbpedia.org/resource/Robert_Plant";21.6757
"http://dbpedia.org/resource/Rick_Ross";21.5871
"http://dbpedia.org/resource/Ne-Yo";21.5265
"http://dbpedia.org/resource/Moby";19.33
"http://dbpedia.org/resource/Nelly_Furtado";18.9093
"http://dbpedia.org/resource/Ayumi_Hamasaki";18.5858
"http://dbpedia.org/resource/Carrie_Underwood";18.1608
"http://dbpedia.org/resource/Charles_Mingus";17.6507
"http://dbpedia.org/resource/Jimmy_Buffett";16.491
"http://dbpedia.org/resource/George_Strait";16.1695
"http://dbpedia.org/resource/Annie_Lennox";16.0601
"http://dbpedia.org/resource/George_Jones";15.6202
"http://dbpedia.org/resource/Rza";15.5903
"http://dbpedia.org/resource/Jackson_Browne";15.4398
"http://dbpedia.org/resource/Ted_Nugent";15.0374
"http://dbpedia.org/resource/Young_Jeezy";14.8578
"http://dbpedia.org/resource/Eddie_Van_Halen";14.8162
"http://dbpedia.org/resource/Dr._John";14.6605
"http://dbpedia.org/resource/Wiz_Khalifa";14.2745
"http://dbpedia.org/resource/Alan_Jackson";14.0617
"http://dbpedia.org/resource/Stevie_Ray_Vaughan";13.7617
"http://dbpedia.org/resource/DMX_(rapper)";13.2328
"http://dbpedia.org/resource/Shreya_Ghoshal";12.988
"http://dbpedia.org/resource/Kenny_Chesney";12.986
"http://dbpedia.org/resource/Mohammed_Rafi";12.8757
"http://dbpedia.org/resource/Dizzee_Rascal";12.814
"http://dbpedia.org/resource/Kelly_Rowland";12.6106
"http://dbpedia.org/resource/Vince_Gill";12.4632
"http://dbpedia.org/resource/Ed_Sheeran";12.2749
"http://dbpedia.org/resource/Harry_Connick,_Jr.";11.9511
"http://dbpedia.org/resource/Soulja_Boy";11.9268
"http://dbpedia.org/resource/Fabolous";11.817
"http://dbpedia.org/resource/B.o.B";11.6779
"http://dbpedia.org/resource/Damon_Albarn";11.285
"http://dbpedia.org/resource/Raekwon";11.2598
"http://dbpedia.org/resource/Ryan_Adams";11.1427
"http://dbpedia.org/resource/2_Chainz";11.0356
"http://dbpedia.org/resource/Kid_Cudi";10.8176
"http://dbpedia.org/resource/Lana_Del_Rey";10.7646
"http://dbpedia.org/resource/Brad_Paisley";10.7141
"http://dbpedia.org/resource/Chamillionaire";10.7007
"http://dbpedia.org/resource/Susan_Boyle";10.6753
"http://dbpedia.org/resource/Nancy_Sinatra";10.638
"http://dbpedia.org/resource/Xzibit";10.5454
"http://dbpedia.org/resource/Mika_(singer)";10.5375
"http://dbpedia.org/resource/Luke_Bryan";10.5016
"http://dbpedia.org/resource/The_Edge";9.94238
"http://dbpedia.org/resource/Sufjan_Stevens";9.85377
"http://dbpedia.org/resource/Skrillex";9.57435
"http://dbpedia.org/resource/Iggy_Azalea";9.5392
"http://dbpedia.org/resource/Melissa_Etheridge";9.53541
"http://dbpedia.org/resource/Patti_Page";9.51713
"http://dbpedia.org/resource/Q-Tip_(musician)";9.45278
"http://dbpedia.org/resource/Hikaru_Utada";9.36848
"http://dbpedia.org/resource/Barry_Gibb";9.32391
"http://dbpedia.org/resource/Bun_B";9.30945
"http://dbpedia.org/resource/J._Cole";9.2767
"http://dbpedia.org/resource/Nate_Dogg";9.15751
"http://dbpedia.org/resource/David_A._Stewart";9.03883
"http://dbpedia.org/resource/Christy_Moore";8.94952
"http://dbpedia.org/resource/Kool_G_Rap";8.70245
"http://dbpedia.org/resource/Robin_Gibb";8.6834
"http://dbpedia.org/resource/Ben_Folds";8.67874
"http://dbpedia.org/resource/Michael_W._Smith";8.62268
"http://dbpedia.org/resource/Mina_(singer)";8.60587
"http://dbpedia.org/resource/Blake_Shelton";8.57517
"http://dbpedia.org/resource/Dannii_Minogue";8.53693
